,TaskTypeID,SubTaskTypeID,AppointmentStatus,LanguageID,ForcedAppointment,SameDayAsApplied,LobbyBureauID,DayNumberOfWeek,DayNumberOfMonth,AppHour,Attempts,Reschedules,NoShows
211,162,210,1,1,0,0.0,5,4.0,12.0,13,0.0,0.0,0.0
212,162,210,1,1,0,0.0,2,4.0,9.0,10,1.0,1.0,1.0
214,162,210,1,1,0,0.0,2,1.0,3.0,13,1.0,0.0,0.0
215,162,209,0,1,0,0.0,3,1.0,6.0,13,0.0,0.0,1.0
216,162,209,1,1,0,0.0,3,1.0,2.0,9,0.0,0.0,0.0
218,162,209,1,8,0,0.0,5,2.0,19.0,9,0.0,0.0,0.0
219,162,209,1,1,0,0.0,1,1.0,15.0,10,0.0,0.0,0.0
220,162,210,0,1,0,0.0,2,1.0,22.0,13,2.0,0.0,1.0
221,162,210,0,1,0,0.0,2,2.0,20.0,8,2.0,0.0,1.0
222,162,210,1,1,0,0.0,2,2.0,18.0,14,1.0,0.0,0.0
223,162,209,1,1,0,0.0,1,5.0,28.0,12,0.0,0.0,0.0
225,162,210,1,1,0,0.0,2,2.0,4.0,14,1.0,0.0,0.0
226,162,209,1,1,0,0.0,7,2.0,31.0,14,0.0,0.0,0.0
227,162,209,1,1,0,0.0,5,1.0,1.0,8,0.0,0.0,0.0
229,162,209,1,1,0,0.0,5,1.0,26.0,9,0.0,1.0,1.0
230,162,210,0,1,0,0.0,5,5.0,19.0,14,2.0,0.0,1.0
231,162,209,0,1,0,0.0,5,5.0,13.0,8,0.0,0.0,1.0
232,162,209,1,1,0,0.0,1,1.0,27.0,10,0.0,0.0,0.0
233,162,210,1,1,0,0.0,2,4.0,16.0,7,1.0,0.0,0.0
234,162,209,1,1,0,0.0,3,5.0,2.0,8,0.0,0.0,0.0
235,162,209,1,1,0,0.0,1,1.0,20.0,12,0.0,0.0,0.0
236,162,209,1,1,0,0.0,1,3.0,8.0,14,0.0,0.0,0.0
237,162,209,1,9,0,0.0,2,3.0,25.0,14,0.0,1.0,1.0
238,162,209,0,1,0,0.0,5,1.0,11.0,13,0.0,0.0,1.0
239,162,210,0,1,0,0.0,2,5.0,19.0,8,2.0,0.0,1.0
241,162,210,0,1,0,0.0,2,3.0,27.0,8,0.0,0.0,1.0
242,162,210,1,1,0,0.0,5,2.0,12.0,8,0.0,0.0,0.0
243,162,210,0,1,0,0.0,2,4.0,2.0,7,2.0,0.0,1.0
244,162,210,1,8,0,0.0,5,3.0,26.0,9,1.0,0.0,0.0
245,162,210,0,16,0,0.0,2,4.0,15.0,14,2.0,1.0,1.0
246,162,209,0,1,0,0.0,4,5.0,27.0,8,0.0,0.0,1.0
247,162,209,1,1,1,0.0,7,5.0,8.0,8,0.0,0.0,0.0
248,162,210,0,1,0,0.0,2,3.0,13.0,8,0.0,0.0,1.0
249,162,209,1,8,0,0.0,8,3.0,21.0,13,0.0,0.0,0.0
250,162,210,0,8,0,0.0,5,5.0,24.0,13,2.0,0.0,1.0
251,162,210,1,1,0,0.0,2,3.0,26.0,14,1.0,0.0,0.0
253,162,209,0,1,0,0.0,2,3.0,11.0,14,0.0,0.0,1.0
254,162,209,1,1,0,0.0,5,2.0,16.0,9,0.0,0.0,0.0
255,162,210,1,1,0,0.0,3,2.0,31.0,8,1.0,0.0,0.0
256,162,209,1,3,0,0.0,7,1.0,18.0,9,0.0,0.0,0.0
257,162,210,1,1,0,0.0,2,2.0,2.0,7,1.0,0.0,0.0
258,162,210,1,1,0,0.0,2,5.0,30.0,14,1.0,1.0,1.0
259,162,210,1,8,0,0.0,7,5.0,28.0,9,1.0,0.0,0.0
260,162,210,1,1,0,0.0,2,4.0,8.0,12,1.0,0.0,0.0
262,162,209,1,1,0,0.0,1,5.0,9.0,14,0.0,0.0,0.0
263,162,210,1,1,0,0.0,7,1.0,3.0,9,1.0,0.0,0.0
264,162,210,1,1,0,0.0,2,5.0,30.0,10,1.0,1.0,0.0
265,162,210,1,1,0,0.0,7,5.0,6.0,14,0.0,0.0,0.0
266,162,209,1,1,0,0.0,1,1.0,18.0,12,0.0,1.0,0.0
267,162,209,1,1,0,0.0,1,5.0,22.0,12,0.0,0.0,0.0
269,162,210,1,1,0,0.0,2,1.0,27.0,14,1.0,0.0,0.0
270,162,209,1,13,0,0.0,1,1.0,2.0,10,0.0,0.0,0.0
271,162,209,1,7,0,0.0,5,3.0,14.0,13,0.0,0.0,0.0
273,162,210,0,1,0,0.0,2,4.0,19.0,8,0.0,0.0,1.0
